Time      ,Source          ,Destination     ,Protocol ,Length ,Gap
43.306134 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0259519999999966
44.308876 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0027419999999978
45.336427 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0275510000000025
46.353442 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0170150000000007
47.435976 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0825339999999954
48.369255 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.933279000000006
49.382171 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.012915999999997
50.41721  ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0350389999999976
51.397704 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.9804940000000002
52.411515 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.013811000000004
53.431559 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0200439999999986
54.44658  ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0150209999999973
55.456852 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0102720000000005
56.461153 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0043010000000052
57.475624 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0144710000000003
58.484911 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0092869999999934
59.491609 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.006698
60.530534 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.038925000000006
61.510805 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.9802709999999948
62.527697 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0168920000000057
63.563635 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0359379999999945
64.551956 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.9883210000000062
23.27873  ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,0.0
24.292909 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0141790000000022
25.320083 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0271739999999987
26.329312 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0092290000000013
27.35399  ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.024677999999998
28.347166 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,0.9931760000000018
29.367461 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0202949999999973
30.378877 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0114160000000005
31.395421 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0165439999999997
33.155302 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.759881
33.430582 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,0.2752800000000022
34.447042 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0164600000000021
35.450162 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0031199999999956
36.458795 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0086330000000032
37.481659 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0228639999999984
38.49461  ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.012951000000001
39.5158   ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0211899999999972
40.530574 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0147740000000027
41.54418  ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0136059999999958
42.568345 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0241650000000035
43.574936 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0065910000000002
44.753107 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.178170999999999
45.605634 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,0.852527000000002
46.620325 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0146909999999991
47.633567 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0132419999999982
48.652081 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0185140000000033
49.657947 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0058659999999975
50.680255 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0223080000000024
51.671598 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,0.9913430000000005
52.676025 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0044269999999997
53.698269 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0222440000000006
54.710895 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0126259999999974
55.73005  ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0191549999999978
56.728119 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,0.998069000000001
57.742615 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0144960000000012
58.747985 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0053699999999992
59.759291 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.0113059999999976
60.775464 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,   342 ,1.016173000000002
57.191732 ,10.50.2.42      ,104.17.223.250  ,TCP      ,    54 ,0.0
57.458719 ,10.50.2.42      ,104.17.223.250  ,TCP      ,    54 ,0.2669870000000003
57.474442 ,10.50.2.42      ,104.17.223.250  ,TCP      ,    54 ,0.015723000000001264
57.767531 ,10.50.2.42      ,104.17.223.250  ,TCP      ,    54 ,0.2930889999999948
57.956201 ,10.50.2.42      ,104.17.223.250  ,TCP      ,    54 ,0.1886700000000019
58.230597 ,10.50.2.42      ,104.17.223.250  ,TCP      ,    54 ,0.27439600000000297
57.178756 ,10.50.2.42      ,104.17.223.250  ,TCP      ,    66 ,0.0
57.214418 ,10.50.2.42      ,104.17.223.250  ,TCP      ,    66 ,0.03566200000000208
57.232185 ,10.50.2.42      ,104.17.223.250  ,TCP      ,    66 ,0.0177669999999992
57.501235 ,10.50.2.42      ,104.17.223.250  ,TCP      ,    66 ,0.26905
57.527282 ,10.50.2.42      ,104.17.223.250  ,TCP      ,    66 ,0.026046999999998377
57.752975 ,10.50.2.42      ,104.17.223.250  ,TCP      ,    66 ,0.2256929999999997
57.200454 ,10.50.2.42      ,104.17.223.250  ,TCP      ,  1454 ,0.0
58.089439 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    54 ,0.0
59.723462 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    54 ,1.6340229999999991
60.021505 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    54 ,0.29804299999999984
60.054771 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    54 ,0.03326600000000468
60.329974 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    54 ,0.27520299999999764
60.3425   ,10.50.2.42      ,104.17.24.14    ,TCP      ,    54 ,0.012526000000001147
60.362168 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    54 ,0.0196679999999958
60.362247 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    54 ,7.900000000660157e-05
61.201516 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    54 ,0.8392689999999945
58.070078 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    66 ,0.0
58.108299 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    66 ,0.03822100000000006
58.347062 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    66 ,0.23876299999999873
59.76082  ,10.50.2.42      ,104.17.24.14    ,TCP      ,    66 ,1.4137580000000014
59.760928 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    66 ,0.00010799999999733245
59.779232 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    66 ,0.018304000000000542
59.779483 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    66 ,0.00025099999999866895
59.779509 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    66 ,2.5999999998305157e-05
60.010842 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    66 ,0.23133299999999934
60.043517 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    66 ,0.03267500000000467
60.098596 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    66 ,0.05507899999999921
