Protocolo ,Origem          ,Destino         ,Tamanho Médio ,Tamanho Mínimo ,Tamanho Máximo ,Soma Tamanho ,Duração Fluxo          ,Média Intervalo        ,Intervalo Mínimo       ,Intervalo Máximo       ,Taxa Média bps
TCP       ,10.50.2.42      ,108.158.173.61  ,         90.0 ,            90 ,            90 ,         900 ,0.04940899999999715    ,0.004940899999999715   ,0.00030000000000285354 ,0.01670299999999969    ,   145722.43923172733
TCP       ,10.50.2.42      ,108.158.173.61  ,       1494.0 ,          1494 ,          1494 ,        4482 ,0.12105100000000135    ,0.040350333333333786   ,0.011299000000001058   ,0.1097520000000003     ,   296205.73146855127
TCP       ,10.50.2.42      ,108.158.194.35  ,         54.0 ,            54 ,            54 ,         378 ,3.1439050000000037     ,0.44912928571428623    ,0.0016570000000015739  ,1.595320000000001      ,      961.8611249385705
TCP       ,10.50.2.42      ,108.158.194.35  ,         66.0 ,            66 ,            66 ,         462 ,1.5694129999999973     ,0.22420185714285676    ,0.00021999999999877673 ,0.8054130000000015     ,     2355.0206351037023
TCP       ,10.50.2.42      ,108.158.194.35  ,       1494.0 ,          1494 ,          1494 ,        1494 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,    11952.0
TCP       ,10.50.2.42      ,108.158.194.56  ,         54.0 ,            54 ,            54 ,        1350 ,8.628782000000001      ,0.34515128000000006    ,0.00013299999999816237 ,3.9507699999999986     ,     1251.6250845136658
TCP       ,10.50.2.42      ,108.158.194.56  ,         66.0 ,            66 ,            66 ,        1518 ,8.189112000000002      ,0.356048347826087      ,1.800000000429236e-05  ,2.7922730000000016     ,     1482.9446709240267
TCP       ,10.50.2.42      ,108.158.194.56  ,         74.0 ,            74 ,            74 ,        2664 ,8.078664000000003      ,0.22440733333333343    ,2.3999999996249244e-05 ,3.041846999999997      ,     2638.059956448243
TCP       ,10.50.2.42      ,108.158.194.56  ,         82.0 ,            82 ,            82 ,        1148 ,6.956499000000001      ,0.4968927857142858     ,1.9999999999242846e-05 ,3.754672999999997      ,     1320.204315417856
TCP       ,10.50.2.42      ,108.158.194.56  ,        143.0 ,           143 ,           143 ,         143 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,     1144.0
TCP       ,10.50.2.42      ,108.158.194.56  ,       1494.0 ,          1494 ,          1494 ,        2988 ,7.826535               ,3.9132675              ,7.826535               ,7.826535               ,     3054.225145610414
TCP       ,10.50.2.42      ,108.158.194.91  ,         54.0 ,            54 ,            54 ,        4104 ,8.271867999999998      ,0.1088403684210526     ,5.3999999998666226e-05 ,2.5176149999999993     ,     3969.115561321821
